Feature1,Feature2,Feature3,ComLevel
2512.35,2515,2489.55,2502.05
2503,2544.9,2502.9,2539.6
2538,2568.7,2512.9,2544.65
2560.7,2575,2470,2482.05
2482,2521.45,2462.05,2514.2
2511.65,2565,2507.1,2558.25
2568,2571.7,2502.1,2514.3
2520,2591.7,2519,2552.4
2553,2594.8,2550.85,2575.75
2561.5,2569.1,2500,2512.9
2510,2526.25,2433,2441.15
2455.05,2487.25,2447.25,2459.9
2479.8,2479.8,2447,2462.15
2470,2547.75,2460.25,2538.75
2560,2595,2555,2584.8
2585.05,2643,2565.25,2635.65
2636,2687.3,2635,2681.05
2698.8,2698.8,2642.25,2675.55
2671,2722,2671,2696.65
2694,2730,2679,2704.75
2710,2722,2667.85,2672.2
2679,2692.75,2625.35,2656.45
2659.45,2675.75,2616.3,2662.35
2677,2687.1,2643,2675.25
2679.7,2708.95,2652.55,2669.4
2682,2790,2676.15,2776
2788,2812.1,2715.65,2746
2750,2770.7,2681.05,2696.45
2640,2679.8,2610,2646.8
2648.9,2678.25,2595.25,2642.7
2642,2659.95,2597.8,2606.55
2623.9,2624.9,2590.1,2619.05
2638,2639.95,2575,2582.35
2585.2,2610,2552,2562.3
2582.5,2606.7,2557.75,2583.7
2590.95,2599.45,2551.7,2559.35
2576,2605.85,2568.1,2596.25
2596,2618,2578.85,2610.95
2616,2631,2606,2617.15
2630,2637,2582.1,2591.3
2591.4,2614,2545.2,2573.75
2553.3,2586.7,2501,2513.1
2531,2571.9,2504.1,2514.8
2525,2569.9,2520,2564.15
2569.45,2569.45,2521,2553.95
2558,2563.6,2522.25,2542.65
2558,2562.9,2500.1,2547.3
2562.45,2599,2544,2585
2594,2656.5,2590.85,2641.4
2659,2687.45,2635.15,2664.55
2648.5,2670.8,2628,2653.75
2664,2665,2628,2655.5
2654.7,2713.9,2609.4,2627.75
2626.95,2627,2571.35,2582.8
2557.1,2560,2470,2474.85
2480.05,2483.9,2424.85,2428.8
2428.8,2452,2401,2427.05
2431.5,2473,2407.55,2445.1
2472,2479.8,2431.7,2457.25
2455.3,2514,2447.55,2493.05
2499.5,2520,2486,2500.2
2510,2510,2455.1,2495
2484,2495,2451.05,2487.3
2480,2490,2427.1,2463.7
2491,2504.8,2457.2,2481.55
2501,2536.45,2500,2517.85
2515,2515,2455.8,2463.05
2464.9,2553.75,2453.7,2545.25
2560,2588,2516.3,2527.25
2535,2563.05,2525,2556
2560,2565,2513,2522.9
2547,2547,2480.45,2515.4
2520,2520,2485,2499.25
2515,2532.4,2501,2511.15
2514.1,2525.25,2497.1,2520.4
2519.4,2530,2496.75,2512.7
